tick,population,mean_h,median_h,births_interval,deaths_starvation_interval,deaths_collision_interval,food_count,kl_divergence
160400,70,5.1143,5.0,174,0,169,831,0.357118
160500,56,5.6607,6.0,165,0,179,893,0.392730
160600,56,5.6607,6.0,191,0,191,889,0.410698
160700,47,5.6596,6.0,189,0,198,888,0.427258
160800,51,5.7451,6.0,203,0,199,926,0.408780
160900,50,5.7800,6.0,190,0,191,891,0.469661
161000,42,5.4048,6.0,182,1,189,920,0.502830
161100,61,5.6393,6.0,207,0,188,889,0.461113
161200,46,5.7826,6.0,175,0,190,921,0.421591
161300,45,5.8222,6.0,193,0,194,912,0.489312
161400,53,5.9057,6.0,207,0,199,911,0.404709
161500,57,5.7544,6.0,184,0,180,892,0.424011
161600,56,5.8929,6.0,177,0,178,879,0.424928
161700,55,5.7636,6.0,183,0,184,896,0.384297
161800,52,5.7885,6.0,178,0,181,892,0.411728
161900,59,5.2881,5.0,195,0,188,854,0.401345
162000,74,5.7027,6.0,178,0,163,847,0.369364
162100,51,5.6667,6.0,172,0,195,869,0.427317
162200,72,5.5417,5.0,188,0,167,812,0.410871
162300,56,5.6964,6.0,171,0,187,882,0.433689
162400,69,5.6232,5.0,190,0,177,813,0.367036
162500,70,5.3143,5.0,167,0,166,823,0.351716
162600,54,5.6852,6.0,167,0,183,894,0.355795
162700,49,5.3878,5.0,193,0,198,893,0.363464
162800,51,5.3725,5.0,199,1,196,904,0.457040
162900,51,5.7843,6.0,197,1,196,937,0.420792
163000,43,5.8605,6.0,188,0,196,935,0.465385
163100,37,5.8378,6.0,199,0,205,917,0.465710
163200,42,5.7381,6.0,209,0,204,937,0.427050
163300,45,5.8889,6.0,187,0,184,934,0.453800
163400,31,5.6452,6.0,200,0,214,952,0.519964
163500,40,5.8250,6.0,188,0,179,954,0.576998
163600,35,5.6571,6.0,199,0,204,966,0.531860
163700,31,5.9032,6.0,160,0,164,964,0.585905
163800,38,5.7895,6.0,169,0,162,963,0.536709
163900,47,5.7660,6.0,172,0,163,923,0.446622
164000,38,5.7368,6.0,209,0,218,904,0.480834
164100,55,5.7455,6.0,197,0,180,890,0.379580
164200,54,5.6111,6.0,178,0,179,904,0.366405
164300,50,5.4400,5.0,186,0,190,894,0.385559
164400,57,5.7368,6.0,188,0,181,904,0.411818
164500,62,5.6774,6.0,186,0,181,889,0.414666
164600,51,5.5098,5.0,170,0,181,916,0.373426
164700,51,5.7647,6.0,161,0,161,950,0.403928
164800,57,5.5789,6.0,153,0,147,926,0.407951
164900,57,5.6140,5.0,181,0,181,893,0.390196
165000,62,5.8710,6.0,182,0,177,891,0.359794
165100,55,5.6727,5.0,160,0,167,913,0.387347
165200,49,5.8163,6.0,182,0,188,884,0.370360
165300,55,6.0545,6.0,181,0,175,910,0.374945
165400,59,5.8814,6.0,199,0,195,874,0.414802
165500,50,5.6800,5.0,181,0,190,893,0.385893
165600,51,6.0000,6.0,189,0,188,880,0.412782
165700,54,5.7778,6.0,189,0,186,901,0.393431
165800,43,5.7674,6.0,185,0,196,927,0.460600
165900,59,5.9492,6.0,220,0,204,867,0.417424
166000,59,5.8136,6.0,191,0,191,871,0.420299
166100,54,5.5926,6.0,189,0,194,848,0.394226
166200,53,5.8679,6.0,194,0,195,879,0.406257
166300,56,5.7500,6.0,184,0,181,887,0.400593
166400,46,5.7826,6.0,191,0,201,924,0.491682
166500,47,5.9574,6.0,208,0,207,892,0.380706
166600,39,5.5897,6.0,180,0,188,964,0.434649
166700,48,6.0833,6.0,194,0,185,922,0.357834
166800,45,5.9111,6.0,200,0,203,956,0.479668
166900,41,5.8293,6.0,160,0,164,961,0.469020
167000,54,5.8704,6.0,192,0,179,913,0.459153
167100,50,5.6000,5.0,176,0,180,951,0.443341
167200,43,5.5814,5.0,163,0,170,958,0.408843
167300,36,5.5278,5.5,165,0,172,956,0.467148
167400,36,5.6389,6.0,201,0,201,960,0.413681
167500,52,5.5385,5.0,194,0,178,946,0.440736
167600,45,5.6444,6.0,190,0,197,921,0.416198
167700,37,5.6486,6.0,178,0,186,965,0.464940
167800,47,5.8085,6.0,197,0,187,925,0.379221
167900,45,5.7333,6.0,198,0,200,911,0.482625
168000,39,5.8462,6.0,209,0,215,933,0.522232
168100,60,5.8333,6.0,207,0,186,875,0.439767
168200,54,5.8148,6.0,178,0,184,864,0.431694
168300,67,5.6119,6.0,190,0,177,854,0.414409
168400,54,5.7593,6.0,159,0,172,887,0.400223
168500,44,5.7273,6.0,184,0,194,902,0.389458
168600,58,5.6897,6.0,197,0,183,914,0.419275
168700,55,5.6364,6.0,184,0,187,911,0.431349
168800,52,5.3462,5.0,194,0,197,866,0.426482
168900,49,5.4694,5.0,170,0,173,921,0.415385
169000,49,5.5510,5.0,189,0,189,924,0.396337
169100,75,5.3467,5.0,189,0,163,806,0.358694
169200,71,5.6056,5.0,173,0,177,824,0.355935
169300,59,5.3898,5.0,149,0,161,854,0.316164
169400,51,5.5490,5.0,168,0,176,844,0.372578
169500,63,5.6190,5.0,181,0,169,867,0.355158
169600,62,5.8548,6.0,181,0,182,853,0.356067
169700,58,5.2414,5.0,176,0,180,863,0.332106
169800,56,5.6607,6.0,175,0,177,881,0.371730
169900,53,5.4717,5.0,169,0,172,909,0.389888
170000,49,5.3878,5.0,190,0,194,883,0.368808
170100,66,5.6667,5.5,197,0,180,861,0.397078
170200,62,5.5806,5.0,165,0,169,882,0.385813
170300,64,5.5000,5.0,172,0,170,857,0.366672
170400,65,5.5846,5.0,195,0,194,826,0.347340
170500,59,5.4576,5.0,166,1,171,838,0.319016
170600,56,5.4107,5.0,172,0,175,874,0.413965
170700,59,5.6610,5.0,190,0,187,876,0.404146
170800,51,5.4902,5.0,189,0,197,831,0.332696
170900,68,5.6176,6.0,202,0,185,786,0.348965
171000,67,5.7612,6.0,166,0,167,812,0.333823
171100,58,5.7069,6.0,169,0,178,810,0.385564
171200,53,5.5094,5.0,185,0,190,806,0.380464
171300,54,5.5926,5.5,185,0,184,824,0.396084
171400,48,5.6250,5.5,181,0,187,879,0.518991
171500,37,5.8919,6.0,195,0,206,874,0.456899
171600,53,5.7736,6.0,206,0,190,867,0.434149
171700,65,5.7538,6.0,189,0,177,832,0.392733
171800,65,5.5077,6.0,170,0,170,810,0.357320
171900,70,5.5571,6.0,174,0,169,855,0.381493
172000,56,5.4821,6.0,171,1,184,875,0.425859
172100,52,5.6538,6.0,189,1,192,882,0.386758
172200,72,5.7778,6.0,207,0,187,823,0.350072
172300,65,5.6769,6.0,175,2,180,816,0.300420
172400,66,5.5303,6.0,163,0,162,828,0.363314
172500,55,5.7818,6.0,177,0,188,867,0.325313
172600,60,5.7833,6.0,182,1,176,843,0.354730
172700,59,5.5932,6.0,169,0,170,848,0.349926
172800,57,5.9298,6.0,171,0,173,881,0.378838
172900,44,5.7727,6.0,185,0,198,923,0.393514
173000,34,6.1471,6.0,191,0,201,941,0.485709
173100,53,5.7547,6.0,222,0,203,921,0.468935
173200,53,6.0000,6.0,180,0,180,928,0.412145
173300,54,5.6852,6.0,197,0,196,902,0.421107
173400,56,5.9821,6.0,186,0,184,900,0.377446
173500,61,5.9836,6.0,170,0,165,888,0.364052
173600,55,5.6909,6.0,178,0,184,878,0.356936
173700,47,5.9574,6.0,192,0,200,918,0.486970
173800,44,5.8182,6.0,201,0,204,908,0.426849
173900,46,5.5870,5.5,195,0,193,908,0.431796
174000,56,5.8750,6.0,197,0,187,913,0.440999
174100,60,5.7000,6.0,197,0,193,849,0.363088
174200,46,5.6957,6.0,167,0,181,884,0.367122
174300,57,5.7368,6.0,189,0,178,875,0.378019
174400,54,5.9259,6.0,168,0,171,916,0.459519
174500,53,5.6981,6.0,186,0,187,886,0.397228
174600,48,5.6875,6.0,191,0,196,900,0.394404
174700,49,5.7959,6.0,185,0,184,898,0.410972
174800,53,5.7547,6.0,194,0,190,886,0.345289
174900,55,6.0182,6.0,187,0,185,902,0.397536
175000,68,5.7500,6.0,192,0,179,840,0.356957
175100,57,5.5965,5.0,160,0,171,868,0.387081
175200,67,5.8806,6.0,180,0,170,869,0.344067
175300,53,5.9623,6.0,176,1,189,860,0.383520
175400,58,5.6724,6.0,176,0,171,833,0.321314
175500,57,5.8421,6.0,183,0,184,878,0.361092
175600,64,5.5938,5.5,184,0,177,839,0.360950
175700,54,5.5926,5.0,184,0,194,832,0.370664
175800,60,5.5667,5.0,201,0,195,838,0.337798
175900,57,5.6491,6.0,187,0,190,838,0.367470
176000,47,5.2766,5.0,177,0,187,886,0.392006
176100,65,5.7077,5.0,214,0,196,863,0.403344
176200,49,5.6531,6.0,189,0,205,889,0.379834
176300,49,5.5714,5.0,195,0,195,874,0.367479
176400,51,5.4510,5.0,197,0,195,908,0.456329
176500,44,5.6818,6.0,189,0,196,907,0.456568
176600,49,5.6531,6.0,202,0,197,885,0.420315
176700,44,5.7045,6.0,198,0,203,908,0.474731
176800,49,5.5510,5.0,205,0,200,897,0.416065
176900,52,5.4038,5.0,202,0,199,897,0.387715
177000,48,5.7708,6.0,197,0,201,908,0.391948
177100,54,5.6481,5.5,202,0,196,898,0.332197
177200,53,5.6038,6.0,195,0,196,887,0.395392
